ἆ|ah!
ἀνάπηρος|much maimed, crippled
ἀναπηρτισμένως|incompletely
ἀναπιδύω|to send forth water
ἀναπιέζω|press back
ἀναπίεσις|pressure
ἀναπίεσμα|trap-door
ἀναπιεσμός|reduction
ἀναπίμπλημι|to fill up; to contaminate, infect
ἀναπίμπρημι|blow, swell up
ἀναπίνω|drink up, suck in like a sponge
ἀναπιπράσκω|sell again
ἀναπίπτω|to fall back
ἀναπισσόω|cover over again with pitch
ἀναπίτναμι|throw open
ἀναπιτύζω|cause to spirt out
ἀναπιτυσμός|spirting out
ἀνάπλασις|remodelling, new formation
ἀνάπλασμα|shape, form, model
ἀναπλασμός|building (of fantasies)
ἀναπλάσσω|to form anew, remodel
ἀναπλαστέον|one must make up into shapes
ἀναπλαστικός|imaginative
ἀνάπλαστος|that may be moulded, plastic
ἀναπλατύνομαι|to be spread wide
ἀναπλέκω|to enwreath
ἀνάπλεος|quite full of
ἀνάπλευσις|separation, splitting off
ἀναπλέω|to sail up, to go up stream
ἀναπλήθω|to be full
ἀναπλημμυρέω|overflow
ἀναπλημμύρω|make overflow
ἀναπληρόω|to fill up
ἀναπλήρωμα|filling
ἀναπλήρωσις|a filling up
ἀναπληρωτέον|one must fill up, supply
ἀναπληρωτέος|one must fill up
ἀναπληρωτικός|filling up
ἀναπληστικός|fit for filling up
ἀναπλίσσω|trot
ἀναπλοκή|a braiding
ἀνάπλοος|a sailing upstream
ἀναπλόω|to unfold, open
ἀνάπλυσις|washing or rinsing out
ἀνάπλωσις|unfolding; explanation
ἀνάπνευμα|a resting-place
ἀνάπνευσις|recovery of breath, respite from
ἀνάπνευστος|without breath, breathless
ἀναπνέω|to breathe again, take breath
ἀναπνοείτης|one who restores breath
ἀναπνοή|recovery of breath, revival
ἀναπνοϊκός|affecting respiration
ἀναπόβλητος|not capable of being lost
ἀναπόγραφος|not registered
ἀναπόδεικτος|not proved, undemonstrated
ἀναπόδεκτος|not to be received
ἀναποδέχομαι|take responsibility for
ἀναποδήμητος|untravelled
ἀναποδίζω|to make to step back, call back, cross-examine
ἀναποδισμός|going back
ἀναποδιστής|one who drives back
ἀναποδιστικός|in retardation
ἀναπόδοτος|not given back, not returned
ἀναποδόω|grow fresh feet
ἀναπόδραστος|unavoidable, not to be escaped
ἀναπόθετος|not stored up
ἀναποιέω|make up, prepare
ἀναποίητος|made up, wrought up
ἀναποικίλλω|variegate
ἀνάποινος|without ransom
ἀναποκλύζω|wash out again
ἀναπόκριτος|unanswered
ἀναπολάζω|roll about
ἀναπολαυστία|non-enjoyment
ἀναπόλαυστος|not to be enjoyed
ἀναπολεμέω|renew the war
ἀναπολεύω|move upwards in an orbit
ἀναπολέω|to turn up
ἀναπόλησις|repetition
ἀναπολητέον|one must recall to mind
ἀναπολόγητος|inexcusable
ἀναπόλυτος|not able to get loose, sessile
ἀναπομπή|a sending up
ἀναπόμπιμος|sent back
ἀναπομπός|one that sends up
ἀναπόνιπτος|unwashen
ἀναπορεύομαι|proceed up-stream
ἀναπόρριφος|not liable to be rejected, free from blemish
ἀναπόσβεστος|inextinguishable
ἀνάποσις|swallowing up
ἀναπόσπαστος|inseparable
ἀναπόστατος|unable to escape from
ἀναπόστολος|without permit
ἀναπόστρεπτος|not to be turned away
ἀναποτέλεστος|unfinished
ἀναπότευκτος|unerring in its aim
ἀναποτικός|absorbent
ἀναποτισμός|watering
ἀναπότμητος|not to be cut off
ἀναπούλωτος|not scarred over
ἀναποφέρω|bring back again
ἀνάπραξις|exaction
ἀνάπρασις|retail dealing
ἀναπράσσω|to exact, levy
ἀναπρεσβεύω|send up ambassadors
ἀναπρήθω|to blow forth, to let burst forth
ἀνάπρισις|sawing off
ἀναπτέον|one must attach
ἀναπτεροποιέω|represent as winged
ἀναπτεροφορέομαι|fly upwards
ἀναπτερόω|to raise its feathers
ἀναπτερυγίζω|raise the wings and fly away
ἀναπτερύσσομαι|to be furnished with wings
ἀναπτέρωσις|clamour
ἀναπτερωτός|excitable, fickle
ἀνάπτησις|upward flight
ἀναπτοέω|to scare exceedingly
ἄναπτος|not to be touched, impalpable
ἀνάπτυκτος|that may be opened
ἀνάπτυξις|opening, gaping
ἀνάπτυσις|expectoration
ἀναπτύσσω|to unfold
ἀναπτυχή|the expanse
ἀναπτύω|to spit up, sputter
ἀνάπτω|to make fast on
ἀνάπτωσις|falling back:
ἀνάπτωτος|flat
ἀναπυνθάνομαι|to inquire closely into, ascertain
ἀναπυρέττω|suffer from recurrence of fever
ἀναπυρίζω|kindle
ἀναπυρόω|set on fire
ἀναπυρσεύω|make glaring
ἀνάπυστος|ascertained, notorious
ἀναπυτίζω|spit up, spout up
ἀναπωλέω|put up for sale again
ἀναπωμάζω|lift up the cover
ἀνάπωσις|a drinking up
ἄναρ|[ > ὄναρ]
ἀναράομαι|recall a curse
ἀνάρβυλος|without shoes, unshod
ἀναργυρία|want of cash
ἀνάργυρος|without silver: without money
ἀναρθρία|want of vigour
ἄναρθρος|without joints, not articulated
ἀναριθμέομαι|to enumerate
ἀναρίθμησις|numbering
ἀναρίθμητος|not to be counted, countless
ἀνάριθμος|without number, countless, numberless
ἀναριστέω|take no breakfast
ἀναρίστητος|not having breakfasted
ἀναριστία|want of breakfast
ἀνάριστος|dinnerless
ἄναρκτος|not governed
ἀνάρμενος|unequipped
ἀναρμόδιος|unfit
ἄναρμος|without joints
ἀναρμοστέω|not to fit
ἀναρμοστία|discord
ἀνάρμοστος|unsuitable, incongruous, disproportionate
ἀναροτρίαστος|unploughed
ἀναρπάγδην|snatching up violently
ἀναρπαγή|re-capture
ἀναρπάζω|to snatch up
ἀναρπαστέον|one must wipe off
ἀναρπαστός|snatched up, carried off
ἀναρραΐζω|recover from a bad illness
ἀναρραίνω|send gushing forth
ἀναρράπτω|lift up by sewing
ἀναρράσσω|shake up
ἀναρραφή|lifting by sewing up
ἀναρραφικός|used in ἀναρραφή
ἀναρραψῳδέω|begin singing
ἀναρρέπω|fly up
ἀναρρέω|flow, stream back
ἀναρρήγνυμι|to break up
ἀνάρρημα|proclamation
ἀνάρρηξις|breakage
ἀνάρρησις|a proclamation
ἀναρριζόω|root, implant in
ἀνάρρινον|nose-smart
ἀναρριπίζω|rekindle
ἀναρριπτέω|fling up
ἀναρρίπτω|to throw up
ἀναρριχάομαι|to clamber up with the hands and feet, scramble up
ἀναρρίχησις|clambering, swarming up
ἀνάρριψις|throwing up
ἀναρροθιάζω|dash up
ἀνάρροια|back flow, reflux
ἀναρροιβδέω|to suck down again
ἀναρροίβδησις|a sucking down
ἀναρροιζέω|rush up, rush back; discharge projectiles
ἀναρροπία|motion upwards
ἀνάρροπος|tilted up
ἀνάρρους|upward flow
ἀναρροφέω|gulp down
ἀναρρόφημα|noise of gulping
ἀναρρόφησις|sucking up
ἀναρροχθέω|retire with a roar
ἀναρρυθμίζω|reduce to order
ἀνάρρυμα|victim
ἀνάρρυσις|rescue
ἀναρρύω|sacrifice, (mid.) rescue
ἀναρρώννυμι|to strengthen afresh
ἀναρρώομαι|rush back
ἀνάρρωσις|recovery
ἀνάρσιος|not fitting, incongruous
ἀναρτάω|to hang to
ἀναρτέομαι|to be ready, prepared
ἀνάρτησις|suspension
ἀνάρτιος|uneven, odd
ἀνάρτυτος|unseasoned
ἀνάρυσις|drawing of water
ἀναρύτω|draw as from a well
ἀναρύω|sacrifice
ἀναρχαΐζω|to make old again
ἀναρχία|lack of a leader
ἄναρχος|without head
ἀνασαλεύω|to shake up, stir up
ἀνασάξιμον|a mine that is reopened and worked
ἀνασάττω|load up, pile up
ἀνασβέννυμι|quench, damp
ἀνασειράζω|to draw back with a rein, to hold in check
ἀνάσεισις|shaking up and down
ἀνασεισίφαλλος|phallum agitans
ἀνασεισμός|threatening gestures
ἀνασειστικός|exciting
ἀνασείω|to shake back, swing to and fro, move up and down
ἀνασεύομαι|sprang forth, spouted up
ἀνασεύω|rushed up
ἀνασηκόω|make up what is wanting by adding weight, compensate for
ἀνάσηψις|wasting disease
ἀνασθμαίνω|breathe with difficulty
ἀνασιλλιάομαι|wear the hair bristling up
ἀνάσιλλος|bristling hair
ἀνάσιμος|snub-nosed
ἀνασιμόω|turn up the nose, sniff
ἀνασίτησις|loading with wheat
ἀνασκαίρω|hop
ἀνασκαλεύω|scrape up
ἀνασκάλλω|dig up
ἀνασκάπτω|to dig up, to dig up ground
ἀνασκαφή|digging up
ἀνασκεδάννυμι|to scatter abroad
ἀνασκεπτέον|one must consider
ἀνασκευάζω|to pack up the baggage
ἀνασκευασμός|upsetting, reversal
ἀνασκευαστέον|one must demolish
ἀνασκευαστικός|destructive
ἀνασκευή|pulling down: suppression
ἀνασκηθής|not free from blemish
ἀνασκησία|want of practice
ἀνάσκητος|unpractised, unexercised
ἀνασκιρτάω|leap, skip
ἀνασκολοπίζω|to fix on a pole
ἀνασκολόπισις|impaling
ἀνασκοπέω|to look at narrowly, examine well
ἀνασκοπή|consideration
ἀνασκυζάω|to be at heat again
ἀνασμύχω|consume as by fire
ἀνασοβέω|to scare and make to start up, to rouse
ἀνασπαράσσω|to tear up
ἀνάσπασις|drawing back
ἀνάσπασμα|uprooted plant
ἀνασπαστήριος|fitted for drawing up:
ἀνασπαστός|drawn up
ἀνασπάω|to draw up, pull up
ἄνασπις|without a shield
ἀνασπογγίζω|sponge clean, sponge well
ἄνασσα|a queen, lady, mistress
ἀνάσσυτος|rushing upwards
ἀνάσσω|to be lord, master, owner, to rule, in
ἀνασταδόν|standing up, upright
ἀνασταλάω|make trickle forth
ἀνάσταλσις|reduction of diet
ἀνασταλτικός|fitted for checking
ἀνασταλύζω|sob
ἀνάστασις|a raising up
ἀναστατέω|carry off
ἀναστατήρ|a destroyer
ἀναστατήρια|sacrifice on one's recovery
ἀνάστατος|made to rise up and depart, driven from one's home
ἀναστατόω|to unsettle, upset
ἀναστάτωσις|unsettling
ἀνασταυρίζω|impale
ἀνασταυρόω|to impale
ἀνασταύρωσις|crucifixion
ἀνασταχύω|shool up with ears
ἀνάστειος|lacking in wit
ἀνάστειρος|with a high prow
ἀναστείχω|go up
ἀναστέλλω|to raise up
ἀναστενάζω|didst thou groan forth
ἀναστεναχίζω|to groan aloud
ἀναστενάχω|to groan aloud over, bemoan
ἀναστένω|to groan aloud
ἀναστέριστος|not marked by stars
ἀναστέφω|to crown, wreath
ἀναστηλόω|set up as or on a monument
ἀναστήλωσις|setting up of a monument
ἀνάστημα|height
ἀναστηρίζω|to set up firmly
ἀναστοιχειόω|resolve
ἀναστοιχείωσις|dissolution
ἀναστοιχειωτικός|dissolvent
ἀναστολή|a putting back
ἀναστομόω|to furnish with a mouth
ἀναστόμωσις|outlet, opening
ἀναστομωτέον|one must open
ἀναστομωτήριος|proper for opening
ἀναστοφάγος|not eating the ναστός
ἀναστράπτω|lighten
ἀναστρατεύω|enlist again
ἀναστρατοπεδεία|decamping
ἀναστρατοπεδεύω|move camp
ἀναστρεπτέον|one must invert
ἀναστρέφω|to turn upside down, upset
ἀναστρολόγητος|ignorant of astrology
ἄναστρος|carrying no planet
ἀναστροφάδην|reversely
ἀναστροφή|a turning upside down, upsetting
ἀναστρόφιος|converse
ἀναστρόφισμα|hinge
ἀναστρόφως|conversely, vice versa
ἀναστρώννυμι|spread with coverings
ἀναστρωφάω|to keep turning about
ἀνασύνταξις|reassessment of war-tax levied on property
ἀνασυντάσσω|reassess war-tax
ἀνασυρίζω|hiss shrilly
ἀνασυρτόλις|lewd woman
ἀνασύρω|pull up
ἀνασφαδάζω|struggle violently
ἀνασφάλλω|to rise from a fall
ἀνάσφαλσις|recovery
ἀνασφηνόω|tighten with wedges
ἀνασφίγγω|bind tight up
ἀνάσχεσις|a taking on oneself, endurance
ἀνασχετικός|enduring, patient
ἀνασχετός|endurable
ἀνασχίζω|to rip up
ἀνάσχισις|ripping open
ἀνασῴζω|recover what is lost, rescue
ἀνασωρεύω|heap up
ἀνάσωσμα|preservation
ἀνασωφρονίζω|reduce to sobriety
ἀνατάκται|assessors
ἀνάταξις|financial estimate, assessment
ἀναταράσσω|to disturb greatly, rouse to frenzy, confound
ἀνάτασις|extension
ἀνατάσσω|countermand
ἀνατατικός|threatening
ἀνατεί|with impunity
ἀνατείνω|to stretch up, hold up
ἀνατειχίζω|to rebuild
ἀνατειχισμός|a rebuilding of the walls
ἀνατέλλω|to make to rise up
ἀνατέμνω|to cut open
ἀνατεταμένως|stretched
ἀνατήκω|melt
ἀνάτηξις|melting, thawing
ἀνατί|without harm, with impunity
ἀνατίθημι|dedicate, refer
ἀνατίκτω|bring forth again
ἀνατιμάω|to raise in price
ἀνατιναγμός|shaking violently
ἀνατινάσσω|to shake up and down, brandish
ἀνατιταίνω|brandish
ἀνατιτράω|bore through, bore
ἀνάτλημα|sufferance
ἀνατλῆναι|to bear up against, endure
ἀνατμητικός|fit for cutting up
ἀνατμίζομαι|evaporate
ἀνατοιχέω|roll from side to side
ἀνατοκισμός|compound interest
ἀνατολάς|eastwards
ἀνατολή|a rising, rise; sunrise, East
ἀνατολικός|eastern
ἀνατολμάω|to regain courage
ἀνατομή|dissection
ἀνατομικός|relating to anatomy
ἀνάτονος|stretching upwards
ἄνατος|unharmed
ἀνατρεπτέον|one must overthrow, refute
ἀνατρεπτέος|one must overthrow
ἀνατρεπτικός|likely to upset
ἀνατρέπω|to turn up
ἀνατρέφω|to feed up, nurse up, educate
ἀνατρέχω|to run back
ἀνάτρεψις|turning upside down
ἀνάτρησις|a trepanning
ἀνάτρητος|bored through
ἀνατριαινόω|shake as with a trident
ἀνατριακοσιολόγιστος|reckoned at
ἀνατριβή|education
ἀνατρίβω|to rub well, rub clean
ἀνατρίζω|chirp aloud
ἀνατριπλόω|repeat a third time
ἀνατριπτέον|one must chafe
ἀνάτριπτος|rubbed up
ἀνατριχόομαι|have one's hair grow again
ἀνάτριχος|with hair bristling backwards
ἀνατριχοφυέω|grow fresh hair
ἀνάτριψις|chafing, friction
ἀνατροπεύς|overturner, destroyer
ἀνατροπή|an upsetting, overthrow
ἀνατροπιάζω|turn back
ἀνατροφεύς|nurturer
ἀνατροφή|education
ἀνατροχασμός|running backwards
ἀνατρυγάω|glean grapes off again
ἀναττικός|alien to the Attic dialect
ἀνατυλίσσω|to unroll
ἀνατυπόω|to impress again
ἀνατύπωμα|mental image
ἀνατυπωτικός|representing
ἀνατυρβάζω|to stir up, confound
ἀναύγητος|rayless, sunless
ἀναυδάω|uplift the voice
ἀναυδής|speechless
ἀναύδητος|not to be spoken, unutterable, ineffable
ἀναυδία|speechlessness
ἄναυδος|speechless, silent
ἀναυλεί|without passage-money
ἄναυλος|without the aulos
ἄναυλος2|weary of its stall
ἀναυλόχητος|not brought to haven
ἀναυμάχητος|without sea-fight
ἀναυμαχίου|indictment of a trierarch for keeping his ship out of action
ἀναυξάνω|increase
ἀναυξής|not increasing
ἀναυξησία|omission of the augment
ἀναύξητος|without augment
ἀναυξία|defect in growth
Ἄναυρος|a river in Thessaly
ἄναυρος|without air, windless, still
ἄναυς|without ships
ἀναϋτέω|shout aloud
ἀναυτούργητος|not to be cultivated
ἀναύχην|without neck
ἀναύω|to cry aloud
ἀναφαίνω|to make to give light, make to blaze up
ἀναφαίρετος|not to be taken away
ἀναφάλακρος|forehead-bald
ἀναφαλαντίας|bald in front
ἀναφαλαντίασις|forehead-baldness
ἀναφάλαντος|forehead-bald
ἀναφαλάντωμα|forehead-baldness
ἀναφανδά|visibly, openly
ἀνάφανσις|appearance
ἀναφέρω|to bring up, bring back
ἀναφεύγω|to flee up
ἀναφευκτικός|given to flight
ἀνάφευξις|fleeing away
ἀναφής|not to be touched, impalpable
ἀναφθέγγομαι|to call out aloud
ἀνάφθεγμα|utterance
ἀνάφθεγξις|mode of utterance
ἀναφθείρομαι|to be undone
ἀναφλασμός|masturbation
ἀναφλάω|masturbate
ἀναφλεγμαίνω|to inflame and swell up
ἀναφλέγω|to light up, rekindle
ἀνάφλεξις|a lighting up
ἀναφλύω|to bubble
ἀναφοβέω|to frighten away
ἀναφοινίσσω|blush, redden
ἀναφοιτάω|go back
ἀναφορά|coming up, rising; a carrying back, reference
ἀναφορεύς|bearer, bearing-pole
ἀναφορικός|standing in relation
ἀναφόριον|petition, proposal
ἀναφορμίζομαι|play a prelude
ἀνάφορον|a pole
ἀναφράζω|relate, describe, mid. to be aware of
ἀναφράσσω|barricade again, block up
ἀναφρίζω|cover with foam
ἀναφρίσσω|bristle up
ἀναφροδισία|want of power to inspire love, lack of charm
ἀναφρόδιτος|without the favour of Venus
ἀναφρονέω|to come back to one's senses
ἀναφροντίζω|to meditate how
ἄναφρος|without froth
ἀναφρύγω|dry up
ἀναφυγή|escape from
ἀναφύησις|springing up, growth
ἀναφυλάσσω|guard
ἀναφυράω|mix up well
ἀναφύρω|to mix up, confound
ἀναφυσάω|to blow up; mid. be puffed up, arrogant
ἀναφύσημα|upward blast, eruption
ἀναφύσησις|upward blast
ἀναφυσητός|blown up, into
ἀναφυσιάω|to blow upwards
ἀνάφυσις|growing again
ἀναφύσσω|draw water
ἀναφυτεύω|plant
ἀναφύω|to produce again, to let grow
ἀναφωνέω|to call aloud, declaim
ἀναφωνή|crying aloud
ἀναφώνημα|a proclamation
ἀναφώνησις|an outcry, ejaculation
ἀναφωνητής|nomenclator
ἀναφωνητικῶς|as an exclamation
ἀναχάζομαι|draw back, withdraw;
ἀναχάζω|to make to recoil, force back
ἀναχαιτίζω|to throw back the mane, rear up
ἀναχαίτισις|restraint
ἀναχαλασμός|relaxation
ἀναχαλαστικός|relaxing
ἀναχαλάω|relax
ἀναχαλκεύω|forge anew
ἀναχάραγή|scraping up
ἀναχαράσσω|scrape up
ἀναχάσκω|to open the mouth, gape wide
ἀναχαυνόω|to be puffed up
ἀναχειρίζομαι|delay, hinder
ἀναχελύσσομαι|cough up
ἀναχέω|to pour forth
ἀναχλαινόω|clothe with a mantle
ἀναχλιαίνω|warm up
ἀναχλίζω|warm up
ἀναχνοιαίνομαι|to get the first down
ἀναχοή|eruption
ἀναχορεύω|to begin a choral dance
ἀναχράομαι|use up
ἀναχρέμπτομαι|cough up
ἀνάχρεμψις|coughing up
ἀναχρίω|anoint
ἀναχρονίζομαι|to be an anachronism
ἀναχρονισμός|anachronism
ἀναχρυσόω|regild
ἀναχρώννυμι|colour anew, discolour
ἀνάχρωσις|discolouring; taint, infection
ἀνάχυμα|expanse
ἀναχύρωτος|without chaff
ἀνάχυσις|effusion
ἀνάχωμα|dike, dam
ἀναχωματίζω|throw up a mound
ἀναχωματισμός|the throwing up a mound
ἀναχώνευσις|melting down
ἀναχωνεύω|to fuse again
ἀναχώννυμι|to heap up into a mound
ἀναχωρέω|to go back
ἀναχώρημα|withdrawal, reflux
ἀναχώρησις|a drawing back, retiring, retreating
ἀναχωρητέον|one must withdraw
ἀναχωρητέος|one must withdraw, retreat
ἀναχωρητής|one who has retired from the world, anchoret
ἀναχωρητικός|disposed to retire;
ἀναχωρίζω|to make to go back
ἀνάχωσις|raising of an embankment
ἀνάχωσμα|silted mound
ἀναψαθάλλω|touch up, work up
ἀναψαλάσσω|tear up, open
ἀναψάω|to wipe up
ἀναψηλαφάω|retry
ἀναψηλάφησις|close search
ἀνάψησις|cleaning out
ἀναψηφίζω|to put to the vote again
ἄναψις|lighting up, kindling
ἀναψοφέω|make a noise
ἀναψυκτήρ|refresher
ἀνάψυξις|cooling
ἀναψυχή|a cooling, refreshing: relief, recovery, respite
ἀναψύχω|to cool, to revive by fresh air, to refresh
ἀνδαβάτης|gladiator
ἁνδάνω|to please, delight, gratify
ἀνδέρω|tear the flesh from
ἄνδημα|head band
ἀνδηρευτής|workman employed on dikes
ἄνδηρον|a raised border, flower-bed
ἀνδίκτης|catch of a mousetrap
ἄνδιχα|asunder, in twain
ἀνδοκεία|guaranteed by
ἀνδοκιάρχης|officer in charge of ἀνδοκεῖαι
ἀνδραγαθέω|be brave
ἀνδραγάθημα|a brave deed
ἀνδραγαθία|bravery, manly virtue, the character of a brave honest man
ἀνδραγαθίζομαι|to act bravely, honestly, play the honest man
ἀνδραγαθικός|befitting a good man
ἀνδράγρια|the spoils of a slain enemy
ἄνδραγχος|throttler of men
ἀνδράδελφος|husband's brother, brother-in-law
ἀνδρακάς|man by man
ἀνδρακάς2|a man's portion
ἀνδραποδίζω|to reduce to slavery, enslave
ἀνδραποδισμός|a selling free men into slavery, enslaving
ἀνδραποδιστήριος|fitted for enslaving
ἀνδραποδιστής|a slave-dealer, kidnapper
ἀνδραποδιστικός|man-stealing, kidnapping
ἀνδραποδοκάπηλος|a slave-dealer
ἀνδραποδοκλέπτης|slave-stealer
ἀνδράποδον|one taken in war and sold as a slave, a captive
ἀνδραποδώδης|slavish, servile, abject
ἀνδραποδωδία|servility
ἀνδραποδώνης|slave-dealer
ἀνδραποδωνία|tax on sale of slaves
ἀνδράριον|a manikin
ἀνδραχθής|loading a man, as much as a man can carry
ἀνδράχλη|Arbutus Andrachne
ἀνδρεία|manliness, manhood, manly spirit
ἀνδρείκελον|an image of a man
ἀνδρείκελος|like a man
ἀνδρεῖος|of or for a man; courageous
ἀνδρειόω|fill with courage
ἀνδρειφόντης|man-slaying
ἀνδρεϊφόντης|man-slaying
ἀνδρείωμα|manly effort
ἀνδρεράστρια|woman that is fond of men
ἀνδρηλατέω|to banish from house and home
ἀνδρηλάτης|he that drives one from home, the avenger of blood
ἀνδριαντίσκος|a puppet
ἀνδριαντογλύφος|carver of statues
ἀνδριαντοειδής|like a statue
ἀνδριαντοθήκη|niche for a statue
ἀνδριαντοπλάστης|modeller of statues
ἀνδριαντοπλαστική|art of modelling
ἀνδριαντοποιέω|to make statues
ἀνδριαντοποιΐα|the sculptor's art, statuary
ἀνδριαντοποιός|a statue-maker, statuary, sculptor
ἀνδριαντουργία|sculpture
ἀνδριάς|the image of a man, a statue
ἀνδρίζω|to make a man of
ἀνδρίον|a manikin
ἀνδρίς|woman
ἄνδρισμα|genuine, straightforward dealing
ἀνδριστέον|one must play the man
ἀνδριστέος|one must play the man
ἀνδριστί|like a man, like men
ἀνδροβάμων|foot-path
ἀνδροβασμός|foot-path
ἀνδροβατέω|paedico
ἀνδροβάτης|paedicator
ἀνδρόβιος|living like a man
ἀνδροβόρος|man-devouring
ἀνδρόβουλος|of manly counsel, man-minded
ἀνδροβρώς|man-eating
ἀνδρογένεια|the man's side
ἀνδρογίγας|giant-man
ἀνδρογόνος|begetting males
ἀνδρογύνης|common to men and women
ἀνδρόγυνος|a man-woman, hermaphrodite
ἀνδροδάϊκτος|man-slaying
ἀνδροδάμας|man-taming
ἀνδροελής|subduing men
ἀνδροθέα|the man-goddess
ἀνδρόθεν|from a man
ἀνδροθνής|murderous
ἀνδροκάπηλος|slave-dealer
ἀνδροκάπραινα|lewd woman, wanton
ἀνδρόκλας|weakening men
ἀνδροκμής|man-wearying
ἀνδρόκμητος|wrought by men's hands
ἀνδροκόβαλος|rogue
ἀνδροκοιτέω|sleep with a man
ἀνδροκόρινθος|a Man-Corinth
ἀνδροκτασία|slaughter of men
ἀνδροκτασίη|slaughter of men
ἀνδροκτονεῖον|slaughter-house of men
ἀνδροκτονέω|to slay men
ἀνδροκτόνος|man-slaying, murdering
ἀνδρόλαλος|gossiping about men
ἀνδρολέτειρα|a murderess
ἀνδροληπτέω|seize men
ἀνδροληψία|seizure of men
ἀνδρολήψιον|right of seizure
ἀνδρολογέω|enlist soldiers
ἀνδρομανέω|lust after men
ἀνδρομανής|mad after men, lustful
ἀνδρομάχος|fighting with men
Ἀνδρομέδα|Andromeda
ἀνδρόμεος|of man
ἀνδρομήκης|of a man's height
ἀνδρομητόν|with a blade slipping back into the haft
ἀνδρόμορφος|of man's form
ἀνδρονομέομαι|to be imperious
ἀνδρόπαις|a man-boy
ἀνδροπλήθεια|a multitude of men
ἀνδροποιός|making manly
ἀνδρόπορνος|cinaedus
ἀνδρόπρῳρος|with man's face
ἀνδρόσαιμον|St. John's wort, Hypericum perfoliatum
ἀνδρόσακες|sea-navel, Acetabularia mediterranea
ἀνδρόσινις|hurtful to men
ἀνδρόστροφος|after the manner of men
ἀνδροσφαγεῖον|a slaughter-house of men
ἀνδρόσφιγξ|a man-sphinx, sphinx with the bust of a man
ἄνδροσφιγξ|sphinx with the bust of a man
ἀνδροσώτειρα|saviour of men
ἀνδροτής|manhood
ἀνδρότης|manliness, manhood, courage
ἀνδροτομέω|castrate
ἀνδροτυχής|getting a husband
ἀνδροφαγέω|to eat men
ἀνδροφάγος|eating men
ἀνδροφθόρος|man-destroying, murderous
ἀνδρόφθορος|of a slain man
ἀνδροφονέω|slay men
ἀνδροφονία|slaughter of men
ἀνδροφόνος|man-slaying
ἀνδρόφρων|man-minded
ἀνδροφυής|of human shape
ἀνδροφυκτίς|mollusc
ἀνδρόω|to rear up into manhood
ἀνδρώδης|like a man, manly
ἀνδρών|the men's apartment
ἀνδρωνῖτις|passage between two courts of a house
ἀνδρωνυμικόν|name transferred
ἀνδρωνύμιον|proper name
ἀνέβραχε|clashed
ἀνεγγάρευτος|free from obligation to serve as ἄγγαρος
ἀνέγγραφος|of which no written evidence exists
ἀνέγγυος|not accredited
ἀνεγείρω|to wake up, rouse
ἀνεγέρμων|wakeful
ἀνέγερσις|raising up
ἀνέγερτος|not broken by waking
ἀνεγκάλυπτος|uncovered
ἀνεγκαρτέρητος|not to be endured
ἀνεγκέφαλος|without brain
ἀνεγκλησία|of indemnity
ἀνέγκλητος|not accused, without reproach, void of offence
ἀνέγκλιτος|unchanging
ἀνεγκόπτως|without hesitation
ἀνεγκωμίαστος|not praised
ἀνεγχώρητος|impossible
ἀνεδάφιστος|not levelled
ἀνέδην|let loose, freely, without restraint
ἀνέδραστος|without firm foundation
ἀνεέργω|hold back, check
ἀνέζω|set upon
ἀνεθέλητος|unwished for, unwelcome
ἀνεθίζομαι|become used to
ἀνεθιστέον|one must accustom
ἀνέθιστος|unaccustomed
ἀνείδεος|formless
ἀνειδωλόπληκτος|not afflicted by ghosts
ἀνειδωλοποιέω|represent in imagery
ἀνεικάζομαι|represent satirically
ἀνεικαιότης|levelheadedness, discretion
ἀνείκαστος|unattainable by conjecture, immense
ἀνεικής|uncontested
ἀνεικόνιστος|not registered with personal description
ἄνεικος|without demur
ἀνειλείθυια|without the aid of Eileithuia
ἀνειλέω|to roll up together
ἀνείλημα|rolling up
ἀνείλησις|penning up, confinement
ἀνειλιγμένως|explicitly
ἀνείλιξις|reversal of motion
ἀνείλλω|shrink up
ἀνείλυστος|accompanied with gripes
ἀνειμάρθαι|not to be decreed by fate
ἀνειμένος|let go free, released from labour (ἀνίημι)
ἀνειμένως|at ease, carelessly
ἄνειμι|go up, reach
ἀνείμων|without clothing, unclad
ἀνειπεῖν|to say aloud, announce, proclaim
ἀνεῖπον|announce, proclaim
ἀνείργω|to keep back, restrain
ἄνειρξις|restraint
ἀνείρομαι|inquire of, question
ἀνείρω|to fasten on
ἀνεῖσα|set upon
ἀνείσακτος|not initiated
ἀνεισοδίαστος|inalienable
ἀνείσοδος|without entrance
ἀνείσπρακτος|free from pecuniary liability
ἀνεισφορία|exemption from tax
ἀνείσφορος|exempt from tax
ἀνέκαθε|[from above, from the first >] -θεν
ἀνέκαθεν|from above, from the first
ἀνέκαιρεν|[lexical cite]
ἀνεκάς|upwards
ἀνεκβάλλω|draw out
ἀνέκβατος|without outlet
ἀνεκβίαστος|not to be overpowered
ἀνεκδήμητος|unpropitious for a journey
ἀνεκδιήγητος|ineffable
ἀνεκδίκητος|unavenged
ἀνέκδοτος|not given in marriage
ἀνέκδρομος|inevitable
ἀνέκδυτος|not to be escaped from
ἀνεκθέρμαντος|not warmed
ἀνέκθυτος|not to be removed by sacrifice
ἀνεκκαρτέρητος|unendurable
