и	and
сомнительный	
районный	neighborhood; area
выразиться	express oneself; be expressed
виновато	guiltily
удерживать	
шумно	loudly; noisily
мотив	motive; motif
дневной	day
воспитывать	raise; bring up; rear; educate
заслуга	merit; desert; (pl) achievements
съездить	make a round trip
смуглый	dark-complexioned
указанный	indicated; specified
диплом	diploma
обходиться	manage; get by
фальшивый	
убеждать	persuade; convince
молитва	prayer
коммерческий	commercial
уступить	yield; let have; cede
избегать	avoid
издалека	from far away; from a long way away
твориться	be created; take place; happen
существенный	
указ	edict; decree (hist)
осматривать	
запустить	
поделиться	
обещание	promise
отмечаться	be observed
неизбежный	unavoidable; inevitable
употреблять	use; put to use
мудрость	wisdom
смело	bravely
паника	panic
мыть	wash (with water)
удачный	successful; fortunate
печатать	print; type
публикация	publication
римский	Roman
оборудование	equipment (in a variety of senses); hardware
вредный	harmful; unhealthy; bad for health; injurious
пульт	remote control
старенький	old; worn out (affectionately)
гроза	thunderstorm
выпуск	output
ля	la la la (singing)
хирург	surgeon
объединить	unite
символ	symbol
прибежать	run to; arrive (running)
звонкий	
звездный	star; starry; stellar
непривычный	not customary; not accustomed to
творить	create
единица	one; unit
защитник	defender
немой	mute
госпожа	
грек	
дружить	be friends with X
казнь	execution; death penalty; capital punishment
сало	lard; pork fat
живо	lively; alive; vividly
Питер	
подробный	
наполовину	in half
отправлять	send; dispatch
независимо	independent; independently
магический	
мм	
правительственный	government
обсуждение	discussion
ползать	crawl
ручной	hand
достаточный	
заметка	
посещать	visit (rather official)
нежность	tenderness
объявлять	announce
противно	nasty; contrary
правление	
живопись	painting (as an art form)
посетить	visit (rather official)
британский	British
будить	wake; wake up
приказывать	order; command
лекарственный	
воображать	imagine; think about
испуганный	scared
незначительный	insignificant
невероятно	incredible
кукла	doll
терапия	therapy
позор	shame; disgrace
особняк	single-family dwelling
видение	vision; apparition; phantom
попрощаться	say goodbye to; part from; take leave of
круто	(fig.) cool; (lit.) steep; abrupt
отменить	cancel; revoke
встречный	
сложность	complexity
украсить	decorate; adorn; ornament
ложный	
редкость	rarity
букет	bouquet
хорошенький	cute; nice
кредит	credit; loan
нетерпение	impatience
бесконечно	endlessly
выбежать	run out; exit (running)
зажигалка	lighter
уничтожать	destroy; exterminate; abolish
крупнейший	
щенок	puppy
обувь	footwear; shoes (sg only)
влюбиться	fall in love; be in love (with)
пропуск	pass card (university)
содержаться	
создаваться	be created; be set up
легкость	lightness; easiness
скромно	humble
активно	active
платформа	platform
оглядывать	
взятка	bribe
оригинальный	original
игрок	
ура	hurray!; hurrah!
эфир	air (broadcasting); ether
присутствующий	one who is present; attendee
связаться	get in touch with get connected with
слушатель	listener; audience member
искренний	sincere; candid
няня	nanny
пролететь	
посещение	visit (rather official)
почерк	handwriting
предупреждение	warning
мат	
удачно	successfully; fortunately; well
разрешать	allow; permit
трижды	thrice; three times
скомандовать	command; order
соленый	salty; pickled
кашель	cough
пострадать	suffer (from); endure
удивлять	
постройка	
дорожный	road; way (adj)
Рим	Rome
налет	raid; air attack
литр	liter
срочный	immediate; urgent
краткий	concise; short
консервы	canned food; canned goods
овца	sheep
накормить	
компьютерный	
племянник	nephew
закуска	hors d’oeuvre; appetizer; bite to eat (with strong drink)
вежливый	polite
обвинять	accuse
раздеваться	take off one’s things (coat; etc.); get undressed
останавливать	stop (something in motion)
загорелый	tan; tanned
проба	
ближний	near; neighboring
бесполезно	uselessly
экземпляр	copy
орех	nut
жанр	genre
твердить	
персонаж	(fictional) character; personage
холл	hall (academic; etc.)
вводить	lead in(to); introduce (topic; method; way; etc.)
коллекция	collection
донести	
ядовитый	poisonous
овладеть	
оценивать	evaluate; assess; price; value
намного	much; a lot (with comparatives)
взволновать	worry; trouble; agitate
ленивый	lazy
чушь	nonsense
греческий	
задерживаться	be delayed; be detained
бессмысленно	
парижский	Paris; Parisian
разрушение	destruction; demolition
удивленный	surprised; astonished
жареный	fried; roasted
осмотр	checkup; examination
бокс	boxing
юрист	lawyer; attorney; jurist
худший	worse; worst
сдача	change (from a purchase)
прибегать	run to; arrive (running)
миска	bowl (specifically; although тарелка usually works)
доступ	access (to)
сохранение	saving; preservation
чех	Czech
обижать	offend
заинтересовать	
поблагодарить	
связать	connect; knit
издавать	publish
снести	
поработать	work (a little bit; a little while)
логика	logic
творение	creation
ухаживать	care for; look after; take care of; court
белеть	turn white; show white
замечательно	wonderfully; remarkably
отделять	
портить	ruin; spoil
усиливаться	
туманный	foggy
выбрасывать	throw away; throw out
дружеский	friendly
купе	compartment (in passenger train)
присниться	
мамочка	mom; mama; mommy; mum; mummy
регулярно	regular; regularly
служащий	employee; office worker
почтовый	postal; mail
лить	pour
завтрашний	tomorrow’s
кислый	sour
потратить	
критик	critic
захохотать	laugh loudly; roar with laughter; guffaw
сочинить	write; compose
въехать	drive into; enter (driving)
нападать	
сложно	complicated; hard; difficult
рвота	vomiting
сборник	anthology; collection (literary)
посмеяться	
выезжать	drive out; exit (driving)
сумочка	bag; purse; handbag
продаваться	be sold
влиять	
барабан	drum
классик	
привычно	customary; accustomed to
отнестись	treat; relate to; behave towards
откровенный	open; candid
увлечение	passion for; enthusiasm for
строительный	building; construction
пивной	pub; bar
нервничать	be nervous; be worried
втроем	three together; as a group of three; threesome
поднос	tray
пожимать	
настроить	
сходиться	
исполнитель	performer
стирать	do laundry; wash clothes
стирать	do laundry; wash clothes
действительный	
авария	accident; disaster
заехать	
побить	hit; beat; beat up
утвердить	
вообразить	
прекратиться	stop; end; cease (action stops itself)
сдаться	surrender
нехотя	
контролировать	control; check
чайный	tea
анкета	form
электричество	electricity
жечь	burn (transitive)
галерея	gallery
доехать	
носилки	stretcher
файл	file
заполнять	fill in; fill out
продавщица	saleswoman
побледнеть	
выдерживать	endure; put up with
скользкий	slippery
возвратиться	return; come back
диета	diet
любопытно	curious
президентский	presidential
шапочка	little cap; hat
прическа	hairstyle; hairdo
сравнивать	compare
вывезти	carry; transport out; away
посол	ambassador
Швейцария	Switzerland
ого	
финский	Finnish
заграничный	foreign
спускать	
заменять	subsitute; substitute for
наполеон	Napoleon (pastry)
вымыть	wash; wash off; wash away
поправлять	set right; correct
заслуживать	be worthy of; merit; deserve
кухонный	kitchen (adj)
привозить	bring (by vehicle)
двигать	move (something)
присоединиться	join in
загореться	
космонавт	cosmonaut; astronaut
разбиться	get broken; shattered
неизбежно	unavoidable; unavoidably; inevitable; inevitably
обвести	
признавать	recognize; admit; acknowledge
отечество	fatherland
антибиотик	antibiotic(s)
передумать	rethink
литься	be poured
морозный	frosty
сказочный	fairy-tale; fairy-tale-like; magic
репутация	reputation
краснеть	turn red; show red; blush
комбинат	plant (manufacturing)
лебедь	swan
записной	note
заинтересоваться	get interested in; take an interest in
прилично	decent; proper
новогодний	New Year's (adj)
миля	mile
сознательный	conscientious
безопасный	safe
тренер	trainer; coach
укол	shot; injection
устраиваться	get settled; be set up; be organized
бухгалтер	accountant; bookkeeper
турецкий	Turkish
урожай	harvest
полосатый	striped
субъект	subject
изменять	change; alter; betray
дико	wild
укрепить	strengthen; fortify
независимость	independence
шок	shock
лягушка	frog
угощать	treat
отводить	
треугольник	triangle
северо	north (in combinations)
влететь	fly in(to)
гранат	pomegranate
немолодой	older; not young
заливать	
употребление	use; usage
теряться	get lost
здороваться	greet; say hello to; welcome
варенье	preserves; jam
полярный	
сознавать	acknowledge; realize; be conscious of
повысить	raise; heighten
жилой	
чердак	attic
витамин	vitamin
юго	south (in combinations)
голубь	
верблюд	
обожать	like a lot; adore; worship
сравнить	compare
исправить	correct
климат	climate
организатор	organizer
летучий	
подтверждение	confirmation
романтический	romantic
беременный	pregnant
предпочесть	prefer
садовый	garden
жара	hot weather; heat wave
догонять	
запрещать	forbid
придерживать	
соврать	
таблица	table; graph
хулиган	hooligan; hoodlum
хулиганка	hooligan; hoodlum
неверный	
нажимать	press; push (a button)
кореец	
покрывать	
двинуть	move (something)
мускул	muscle
уносить	take away
православный	Orthodox; an Orthodox Christian
сотворить	create
потемнеть	darken; grow dark; become dark
израильский	Israeli
пожаловаться	
реально	actually; really
щелкать	click; click on
развестись	get divorced
экологический	environmental; ecological
фантастика	fantasy (fiction)
забегать	
браслет	bracelet
несправедливый	
поляк	Pole
эксперт	expert
посметь	
подводить	
насекомое	insect
ронять	drop
увлечь	fascinate; captivate; allure
кашлять	cough
ожог	burn (injury)
радовать	
послужить	
хитрость	slyness; craftiness; cunning
послезавтра	the day after tomorrow
тупо	dully; bluntly (not sharply); obtusely; in a dull-witted way
извиниться	
вскрыть	
гм	
раковина	sink
покурить	
повышать	raise; heighten
попить	drink a little; have a little to drink
добираться	get to; reach
превращать	change into; transform
фу	ugh (disgust; dislike; disapproval)
колокол	
соглашение	agreement
обсудить	discuss
штатский	state (in U.S.; vs.  federal QUOTE)QUOTE
ух	
познакомить	
лечиться	receive; get treatment; be treated
честный	honest
чинить	fix; repair
отход	departure (train)
ссориться	quarrel; argue; fight (verbal)
наизусть	by heart; memorized
мамин	mom's; belonging to mother
раздеться	take off one’s things (coat; etc.); get undressed
соревнование	competition; contest
почесать	comb; scratch
одиноко	lonely
подъезжать	
вырастить	
неудачный	unfortunate; unsuccessful
связываться	
ворона	
штраф	fine
тысячелетие	millennium; 1000-year anniversary
оплата	payment
проезд	journey; trip; ride; passage; fare (on public transport)
образовывать	form; shape
угостить	
добровольно	voluntarily
взлетать	take off; fly up
телевизионный	television
расслабиться	relax; take it easy; unwind
пьяница	drunkard; drunk
эра	era; period
украшать	decorate; adorn; ornament
пирог	pie
проезжать	
списать	copy
мамаша	mom; mama; mommy; mum; mummy
сварить	
обвинить	accuse
заводить	lead; bring; start (engine)
подписывать	sign
раствориться	
успешный	successful
разрушать	destroy; demolish
переписка	correspondence; typing; copying
ваза	vase
бесполезный	useless; not useful
рожать	give birth to; bear (a child)
удобство	comfort; convenience; facilities
минуточка	
сдержать	hold back
увлечься	
взойти	rise; come up (e.g.; sun)
шишка	pine cone
признаваться	
выяснять	
привлекательный	
отнимать	
голосовать	vote
банкир	banker
незаметный	imperceptible; inconspicuous
скульптура	sculpture
поменять	change; replace
рекомендация	recommendation
рецепт	recipe (for cooking); prescription (for medicine)
россиянин	Russian citizen
зубной	
увлекаться	
вносить	carry in
пролетать	
снизить	lower; reduce; bring down
указательный	index; indicating; demonstrative
мясной	meat
находка	discovery; a find
легкомысленный	flakey; not serious; light-minded; flighty
уставать	get tired; become tired
спасаться	be saved; rescued
тонко	thinly
задерживать	delay; detain; hold up
проследить	follow; watch (e.g.; news; etc.)
откладывать	postpone; set aside
тапочка	slipper; houseshoe
сердитый	angry; mad; ill-tempered; cross
вылетать	fly out (of)
обжечь	burn (injure)
отличать	
неслышный	unheard; unaudible
Казахстан	Kazakhstan
приветливо	gracious; affable; friendly; amiable
поросенок	piglet
придерживаться	
бланк	form
сознаться	
покрыться	
мыться	be washed
погнать	drive away; chase; pursue
обрадовать	
отрицательно	negatively
сердечно	cordially
уборный	
договариваться	come to an agreement; agree (to do something)
вешалка	hook; hanger
сознательно	
механик	mechanic
зажигать	light; set fire to
позавчера	the day before yesterday
беспорядок	disorder; mess; confusion
сохраняться	be saved; be preserved
полезно	useful; healthy; good for (your health)
наказывать	punish
университетский	university; college
спор	debate; argument
психиатр	psychiatrist
сигара	cigar
метель	blizzard; snowstorm
грузин	Georgian
растительный	plant; vegetation
драма	drama
вклад	contribution; input
править	
добродушный	kind; good-natured; magnanimous
джип	jeep
конек	skate; hobby
переодеться	change clothes; get dressed again
полюбоваться	
архитектура	architecture
стричь	cut (hair); clip; shear; trim
Турция	Turkey
фермер	farmer
усомниться	
спастись	be saved; rescued
украшение	decoration; adornment; ornament
миленький	dear; sweet
производитель	producer
добродушно	kind; good-natured; magnanimous
салфетка	napkin
форточка	(ventilation) window (found in Russian apartments)
доводить	
поправиться	get better; get well; put on (needed) weight
индийский	Indian (from India)
фестиваль	festival
кипяток	hot; boiling water (for tea; etc.)
расплатиться	
творец	creator
приложение	application (software)
шашка	checker; checkers
оплатить	
незачем	there's no reason for
уютно	cozily; comfortably
пугаться	be frightened; be scared (of)
ввиду	
куб	cube
бумажник	wallet
справочник	reference book; directory; manual
таракан	cockroach; roach
виноград	grape(s) (sg only)
хорошенько	in a cute way
посылка	package
ежедневный	daily
щи	shchi; cabbage soup
прописать	prescribe; register
расписаться	sign for
нечаянно	accidentally; inadvertently
тюльпан	tulip
архитектор	architect
блондинка	blonde; blond-haired person
заявка	application
потребитель	consumer; buyer
паук	spider
уводить	lead away
поиграть	play
жгучий	burning
одеколон	cologne
Грузия	Georgia
характерно	characteristically; typically
джунгли	jungle
понюхать	
петербургский	Petersburg
дружный	friendly
освобождать	free; liberate
юбилей	anniversary; jubilee
отличить	
безумно	crazily
христианский	Christian
арбуз	watermelon
детектив	detective story; mystery novel
жарить	fry; sautée; broil; roast (cooking with high heat; oil)
стресс	stress
старомодный	old-fashioned
ломаться	break; be broken (bone; machine; tool; etc.)
показываться	be shown; be displayed
доверить	trust
запоминать	memorize
предлог	preposition; pretext; excuse
обслуживать	
пробегать	
тренировка	training; workout
вставлять	insert; put in
бессонница	insomnia; trouble sleeping
плавание	swimming; sailing
пчела	bee
беспокойный	stormy; troubled
снижаться	be lowered; be brought down; be reduced; descend; come down
пирожок	stuffed pastry (savory; meat; mushroom; cabbage; potato; etc.)
выбегать	run out; exit (running)
помойка	garbage dumpster; dump; trash heap
присаживаться	
прекращаться	stop; end; cease (action stops itself)
благополучный	
отказывать	refuse; deny; turn down
протереть	
напасть	attack
зашуметь	
нанять	hire
экономия	economizing; saving
землетрясение	earthquake
сломаться	break; be broken (bone; machine; tool; etc.)
парикмахерская	hair salon; beauty parlor; hairdresser´s
парикмахерский	hair salon; beauty parlor; hairdresser´s
относить	take away
потеряться	
замучить	
филиал	chain store; franchise; branch office
починить	fix; repair
инженерный	
раздавать	distribute
сметана	sour cream
рождать	give birth to; bear (a child)
крокодил	crocodile
монитор	monitor
ураган	hurricane
вбежать	run in(to)
заключать	conclude
забежать	
поделить	
незаконный	illegal; unlawful
воспитать	raise; bring up; rear; educate
обидный	offensive; hurtful
объединять	unite
чесать	comb; scratch
приз	prize
побелеть	
воспитанный	well-raised; well-brought-up; well-bred
сойтись	
щетка	brush
наилучший	the best
добежать	
пожелание	wish; desire
кудрявый	curly
босиком	barefoot (adv)
хм	
соединять	join together
рак	cancer
завестись	acquire; start (engine)
босс	boss
торопить	rush; hurry
умница	smart person
сковородка	pan; frying pan
регулярный	regular
крем	whipped cream; cream filling; cosmetic creme
всплыть	
поджечь	
швейцарский	Swiss
нарушитель	law-breaker; violator
относительный	relative
мартышка	
протирать	
абстрактный	abstract
СМИ	
нюхать	sniff; smell
бесцветный	colorless
выспаться	get a good night's sleep
отвыкнуть	become; get unaccustomed to
отопление	heat; heating
будильник	alarm clock
усиливать	
равенство	
взлет	takeoff
обняться	hug; embrace (each other); hug (with)
немедленный	not slow; quick
джаз	jazz
повышаться	be raised; elevated; heightened
гимнастика	gymnastics
пони	pony
разрешаться	be allowed; permitted (to do)
репортер	reporter
опубликованный	
доносить	
психолог	psychologist
багажник	trunk (of car)
гражданство	citizenship
поводок	leash; lead
характеризоваться	be characterized
африканский	African
подносить	
расплачиваться	
уборка	cleaning; tidying up; harvesting; gathering
почтение	respect; esteem; consideration
гражданка	citizen
преграда	barrier; obstacle
сдержаться	restrain oneself; hold oneself back
чесаться	scratch (self); itch
возвратить	return; give back
проезжий	passerby
племянница	niеce
банка	jar; can
кубок	cup (award)
раздать	distribute
понизить	lower; reduce; bring down
разнести	
изменяться	change (intransitive)
теленок	calf
газон	lawn; grassy area
экономист	economist
успокаиваться	
приземлиться	land; touch down (of plane)
управиться	be governed; be run
добровольный	voluntary
Финляндия	
раздражить	
картофель	potato(es)
анализировать	analyze
впустить	
вывозить	carry; transport out; away
праздновать	celebrate
переписать	rewrite
канадский	Canadian
повлиять	
приветливый	gracious; affable; friendly; amiable
позавидовать	envy; be envious of
подружиться	become friends
соус	sauce; condiment
зарядить	charge
наемник	
запускать	
запрещаться	be forbidden
пожениться	
загадочно	mysteriously
футболист	soccer player
окаменеть	
стереть	
ударять	
загорать	
неспособный	incapable (of); unfit (for)
меньшинство	minority
заряжать	charge
долететь	
отключить	cut off; disconnect
подбегать	
недалекий	not far (from)
физкультура	physical education
континент	continent
снижать	lower; reduce; bring down
учительский	teacher's
бледнеть	be pale; turn pale
страховка	insurance
неясно	unclearly
дружески	friendly (usually of things; e.g.; relations; conversation)
сосиска	hot dog; frankfurter
правдивый	
укреплять	strengthen; fortify
экскурсовод	tour guide
комплимент	compliment
немногие	not many; few; little
неприличный	indecent; improper; obscene
угу	
умерший	one who has died; the deceased
покрываться	
дружелюбный	friendly; amicable
реализовать	realize; bring about
зайчик	hare; diminutive
блюдце	saucer
тошнить	be nauseated; nauseaus; feel like throwing up
сносить	
понос	diarrhea
испугать	frighten; scare
включаться	be turned on; be switched on; be included
поломать	
грабитель	robber; mugger
рабство	slavery
перечитывать	reread
обсуждаться	be discussed
грязно	dirty; muddy
спеть	sing
расплыться	
продовольственный	grocery; food
вредно	harmful; unhealthy; bad for health; injurious
пижама	pajamas
цыпленок	chick
латинский	Latin
унитаз	toilet
передышка	breather; respite; relaxation
перебрать	
Троица	Trinity
отделить	
побеседовать	
остроумный	
подсознание	subconscious
соединиться	be joined together
прекращать	stop; end (X; doing X)
пояснять	
мавзолей	mausoleum
сессия	exam period
развиться	
антенна	antenna
поссориться	quarrel; argue; fight (verbal)
накрывать	cover (table with tablecloth; pot with lid; etc.)
живописный	picturesque
скорпион	scorpion
поспорить	debate; argue with
обменяться	exchange (similar items)
аплодировать	applaud
шоколадный	chocolate
кружка	mug
обмениваться	exchange (similar items)
институтский	institute
хитро	slyly; craftily; cunningly
гостеприимный	hospitable
присоединяться	join in
голосование	voting
одноклассник	classmate (school)
линза	lenses; contacts
поговорка	saying
сообщаться	be communicated; conveyed
финка	
непростой	not simple; complicated
разносить	
увозить	carry; transport away
включиться	be turned on; be switched on; be included
наркоман	drug addict
иврит	
зарядка	charger; exercise (athletic)
загораться	
зажечься	be lit; catch fire
обменять	exchange (different items); swap
Псков	Pskov
нарушаться	be broken; violated
булочный	bread store; bakery
наличный	cash
сжиматься	be squeezed
усилить	
критиковать	criticize
христианин	a Christian
устный	oral
выключать	turn off; switch off
шкатулка	(Russian) lacquer box
заход	sunset
провозить	
перебежать	run across
пешеход	pedestrian
перечитать	reread
перевезти	move things by vehicle
кассирша	cashier
запирать	lock
искусственно	artificially
расплываться	
загар	tan
довезти	
присылать	send to
сайт	site; website
начинающий	beginner; introductory
туристический	travel; tourist
электрик	electrician
докторский	
досуг	free time; leisure time
послушаться	
мамка	mom; mama; mommy; mum; mummy
водопад	waterfall
универмаг	department store; shopping center
восход	sunrise
выращивать	grow; raise; cultivate
сдерживаться	restrain oneself; hold oneself back
ежегодно	every year; yearly; annually
невесело	unhappily
прохладно	cool
разделиться	
флейта	flute
месторождение	
неудачно	unfortunate; unsuccessful
настоять	
подвезти	
проплывать	
воздержаться	
подключить	connect
обеспокоить	worry; trouble; concern
дыня	melon
выяснение	
чеснок	garlic
подышать	breathe
шестидесятый	60th
невеселый	unhappy
признанный	recognized; accepted; acknowledged
обжигать	burn (injure)
рассказчик	
запланировать	
убеждаться	be persuaded; convinced
яичница	cooked eggs (fried; scrambled)
малина	raspberry (sg only)
выздороветь	get well; get healthy; recover
овальный	oval (adj)
усилиться	
аренда	lease; rent; mortgage
христианство	Christianity
счеты	abacus
семидесятый	70th
терпеливый	patient
супруга	spouse
тренироваться	train (oneself)
подсознательный	
татуировка	tattoo
разъехаться	
заносить	
поболтать	
влюбляться	fall in love; be in love (with)
оплачивать	
скульптор	sculptor
фруктовый	fruit
подраться	fight (physical)
почтальон	postman
Саратов	Saratov
употребить	use; put to use
наркотик	drug; narcotic; illegal drug
хулиганство	
спереди	from in front
гид	guide
указатель	index; directory; indicator; pointer; directional sign
гастроном	grocery store
пригород	suburb
выясняться	
красть	steal
подстричь	cut (hair)
ассистент	assistant
отъехать	
электростанция	power station; power plant
упускать	
управляться	be governed; be run
отличник	A-student
поторопиться	
объясниться	be explained; clarified
соединяться	be joined together
поменяться	change (intransitive)
наушник	headphones
бесшумный	
магистр	M.A. holder
сотый	100th
пирожное	pastry; baked item (sweet)
пирожный	
публиковать	publish; print
беспокойно	uneasy; anxious
сандалия	sandal
почистить	
бульон	bouillon; broth
спасательный	rescue; life-saving
переписывать	rewrite
одеть	
образовать	form; shape
скобка	
умывальник	sink; bathroom sink
неприлично	indecent; improper; obscene
грибной	mushroom
повторение	repetition; review
сменять	change; replace
вылечить	cure; heal
развить	develop
разучиться	unlearn; forget how to do
кубик	block
мимоходом	
неспокойный	not peaceful(ly); not calmly
предпочтение	preference
вишня	cherry (sg only)
записаться	register for
создаться	be created; be set up
выплата	
неживой	
умирающий	one who is dying
безработный	unemployed; jobless
стипендия	stipend; fellowship
покушать	eat a little bit
всплывать	
раздражаться	
проголосовать	vote
сосчитать	
секретно	secret; secretly
вписать	insert; enter; put down
характеризовать	characterize
сливка	(heavy whipping) cream (pl only)
плавка	men´s swimsuit; swimming trunks (pl)
простудиться	have a cold; catch a cold
причесать	do (hair); comb; brush
традиционно	traditionally
комод	dresser; chest-of-drawers
кудри	curls
еврейка	Jew
освобождаться	be freed; be liberated
увлекать	fascinate; captivate; allure
вскрывать	
уплывать	swim away; sail away
зебра	zebra
подтвердиться	
Новосибирск	Novosibirsk
веснушка	freckle(s)
тушить	stew
морковка	a carrot
половой	sex; sexual; floor
пингвин	penguin
ароматный	aromatic
растворять	
градусник	thermometer
разбивать	break; shatter
заводиться	acquire; start (engine)
скороговорка	tongue-twister
оса	wasp
залететь	
отлет	departure (plane)
ветчина	ham
пятидесятый	50th
безработица	unemployment
перевозить	move things by vehicle
вопросительный	question; interrogative
переодеваться	change clothes; get dressed again
ударение	stress; accent
сороковой	40th
перелететь	fly across
шкафчик	cabinet; shelving unit (dim.)
трудолюбивый	hard-working
Тбилиси	Tbilisi (Georgia)
супермаркет	supermarket; grocery store
тысячный	1000th
тыква	pumpkin
пупок	belly button; navel
наесться	
тренировать	train
зачет	pass/fail exam; check-up exam; grade of pass on such a test
Бельгия	
гостеприимство	hospitality
плата	
непросто	difficult
отличиться	
косметика	cosmetics; makeup
растворяться	
мамуля	mom; mama; mommy; mum; mummy
Новгород	Novgorod
кассир	cashier
пересадка	transfer; switch; transplanting
въезжать	drive into; enter (driving)
аттракцион	attraction; ride (amusement park)
порезать	
снизиться	be lowered; be brought down; be reduced; descend; come down
самоуверенный	over-confident; cocky
блондин	blond; blond-haired person
перебегать	run across
синагога	synagogue
программный	
кофейный	coffee (adj)
микрорайон	neighborhood
мерить	measure; rate; gauge; try on (for size)
постепенный	gradual
кило	kilogram; kilo
стюардесса	stewardess; flight attendant
измерить	measure;  rate; gauge
сливочный	cream
покормить	feed a little bit
завезти	
каменеть	
взглядывать	
свекла	beet(s)
одевать	dress X; get X dressed
новинка	new product (on the market); novelty
курьер	courier; messenger
Ташкент	Tashkent (Uzbekistan)
кенгуру	kangaroo
буквальный	literal
кондиционер	air conditioner
разбиваться	get broken; shattered
приплыть	swim; sail to; arrive (swimming; sailing)
баранина	mutton
персик	peach
жизненно	vitally
поздравление	congratulation(s); congratulating
бессознательный	
овладевать	
канализация	sewer system; waste water system
основываться	be founded
заезжать	
репортаж	report; reporting
снегопад	snowfall
надоедать	
свинина	pork
растворить	
чихать	sneeze; be sneezing
блузка	blouse; women's shirt
квитанция	receipt (for payment)
проанализировать	analyze
австралийский	Australian
проездной	(for) travel; riding
чтить	honor; respect; esteem
придержать	
мусульманин	a Muslim
подтверждаться	
пианистка	pianist
пианист	pianist
отрицание	negation; denial
мобильный	mobile
Голландия	
слепо	blind; blindly
списывать	copy
неуютно	uncozily; uncomfortably
возненавидеть	
прокат	rent; hire
батарейка	battery
водительский	driver (adj)
сушеный	dried
сушить	dry
уплыть	swim away; sail away
родинка	birthmark
обниматься	hug; embrace (each other); hug (with)
долетать	
представительство	representation
заведовать	manage; run
вбегать	run in(to)
чудесно	wonderful; wonderfully; mirculous; miraculously; marvelous; marvelously
объединиться	be united; unite; merge
пароль	password
карусель	carousel
морковь	carrot(s)
папин	
зажигаться	be lit; catch fire
полить	pour; water (plants)
сознать	acknowledge; realize; be conscious of
невесомость	
оцениваться	be evaluated; assessed; priced; valued
велосипедист	biker; bicyclist; cyclist
исправлять	correct
католический	Catholic
положительно	affirmative; affirmatively; positive; positively
знакомить	introduce; acquaint X with Y
покойница	
булочка	roll; bun
общительный	sociable; affable
туризм	tourism
украинец	Ukrainian
отключиться	be cut off; be disconnected
настраивать	
заплыть	
ветреный	windy
дождливый	rainy
записываться	
латынь	Latin
творог	tvorog; farmer's cheese
одержать	
лимонад	soft drink; soda
миллионный	millionth
измерять	measure;  rate; gauge
чек	receipt; check
купальник	women's swimsuit
разногласие	discord; disagreement
виноградный	grape
благотворительный	benevolent; charitable
законно	legally; legal
прадед	great-grandfather
православие	(Eastern) Orthodoxy
свежо	freshly
миллиметр	millimeter
продуктовый	grocery
кнопочка	button (dim)
электроника	electronics; electronic devices
уф	
пообщаться	
варежка	mitten
помыться	
стажер	intern; trainee
удерживаться	
пикник	
нанимать	hire
брюнет	dark-haired; black-haired person
остроумно	witty
абрикос	apricot
туманно	foggy
телекомпания	
неглубокий	not deep; shallow
нечестно	dishonest
одновременный	simultaneous; synchronous
постесняться	be shy; feel shy
бессознательно	
розетка	outlet (electrical)
проплыть	
экономически	economic
восьмидесятый	80th
достопримечательность	(tourist) sight; point of interest; the sights
наемный	
отъезжать	
суеверие	superstition
поправляться	get better; get well; put on (needed) weight
переносный	figurative
аллергия	allergy
стрижка	haircut
оперный	
водопровод	water pipe; plumbing; water line
ревниво	jealously
употребляться	be used; be put to use
колготки	tights; stockings; hose
переписываться	correspond
разводиться	
побегать	run (some; a little)
ревнивый	jealous
влетать	fly in(to)
код	combination
впускать	
ангина	strep throat; sore throat
бильярд	pool; billiards
фут	foot
психически	psychologically
туристский	tourist; travel
наименование	name; designation
выплыть	
неопытный	inexperienced
убиваться	be killed; murdered
горчица	(spicy hot) mustard
продлиться	
расслабляться	relax; take it easy; unwind
Мексика	
объехать	ride around
служанка	servant
спорный	debatable; arguable; controversial
наезжать	
козленок	kid (goat)
мусульманский	Muslim
платеж	
вводиться	be introduced; brought in
переплыть	swim; sail across
колбаска	
печь	bake
ямочка	dimple(s) (on cheeks; on chin)
классика	classics; a classic
отменять	cancel; revoke
разъезжать	
работоспособность	capacity for work; efficiency
арендовать	
говядина	beef
страхование	insurance
глагол	
внучка	granddaughter
брюнетка	dark-haired; black-haired person
объединяться	be united; unite; merge
арестовывать	arrest
расплата	
эгоист	egotist
водоворот	whirlpool
раздевать	undress
произноситься	be pronounced
пловец	swimmer
эстонец	Estonian
осьминог	octopus
пользователь	user
переводчица	translator
заболевать	
ананас	pineapple (sg only)
Рязань	Ryazan
ежегодный	annually
мойка	wash basin; car wash
всходить	rise; come up (e.g.; sun)
слякоть	slush
закупка	purchase; shopping
халява	freebie
атеист	atheist
произношение	pronunciation
подвозить	
выпускной	final; exit; graduation (exam; etc.)
туннель	tunnel
незаконно	illegal; illegally; unlawful; unlawfully
утрачивать	
принтер	printer
укрепиться	be strengthened; be fortified
смерить	measure; rate; gauge; try on (for size)
прослушать	
облететь	
петрушка	parsley
шотландский	Scottish
Снегурочка	the Snow Maiden (companion of Дед Мороз)
напиваться	drink one’s fill; have enough to drink; drink too much
Ялта	Yalta
помолиться	
присоединить	join; connect
отвозить	
бессмысленность	
политься	begin to pour; pour a little
авиакомпания	airline
избавляться	get rid of
неравенство	inequality
уничтожаться	be destroyed
планшет	tablet (computer)
