id	gloss	lemma_id
3260	constituted, arranged, disposed	11156
3261	it is established (+ acc. and infin.)	11157
3262	to agree; to stand firm	11157
3263	P. of 1 consterno. Plur n. as subst, coverings	11160
3264	to bind, fetter, shackle, chain	11167
3265	a putting together, building, construction	11168
3266	to heap together, pile up, accumulate	11169
3267	a debaucher	11170
3268	to violate, ravish, debauch, defile	11171
3269	 the festival of Consus	11173
3270	 a strenuous counsellor	11174
3271	to accustom, inure, habituate	11179
3272	 to accustom, inure, habituate	11181
3273	a custom, habit, use, usage, way, practice, familiarity, experience, tradition, precedent	11184
3274	used, accustomed, usual, ordinary, wonted, customary, familiar	11185
3275	consul	11187
3276	of a consul, consular	11188
3277	as becomes a consul	11190
3278	the office of consul, consulate, consulship	11192
3279	to meet and consider, reflect, deliberate, take counsel, consult, take care, have regard, look out, be mindful	11194
3280	a mature deliberation, consideration, consultation	11196
3281	deliberately, considerately	11200
3282	deliberately, purposely, designedly	11201
3283	to reflect, consider maturely, consult, take counsel, deliberate	11202
3284	one who gives counsel, a counsellor, adviser	11203
3285	she who has a care for, a provider	11204
3287	well considered, weighed, deliberated upon, maturely pondered	11206
3288	to accomplish, complete, finish, perfect	11212
3289	 to use up, eat, devour	11213
3290	a wasting, consumption	11215
3291	a consumer, destroyer	11216
3292	to sew, stitch together	11218
3293	to rise, stand up, arise, start up, rise in a body, lift oneself	11220
3294	a standing up	11221
3295	an ancient deity, god of secret plans	11222
3296	to whisper together	11223
3297	to waste away	11227
3298	a structure of planks, flooring, floor, story	11228
3299	to floor over, build in stories	11229
3300	a touching, touch, contact	11231
3301	a touching, contact, touch	11233
3302	infection, contagion, taint	11235
3303	polluted, contaminated, impure, vile, defiled, stained, degraded	11241
3304	to bring into contact, mingle, blend, unite	11242
3305	P. of contego	11247
3306	to cover, roof, bury	11248
3307	to pollute, violate	11249
3308	despicable, contemptible, trifling, unworthy of notice	11250
3309	to value little, esteem lightly, contemn, despise, disdain, disregard, defy	11253
3310	a viewing, surveying, contemplation	11259
3311	an observer, one who reflects upon	11261
3312	a consideration, contemplation	11264
3313	 to gaze at, view attentively, survey, behold, observe, contemplate	11266
3314	contemptuously, slightingly, scornfully	11270
3315	a despising, disregard, contempt, scorn, disdain	11271
3316	he who disregards, a contemner, despiser	11272
3317	she who disregards, a despiser	11273
3318	despised, despicable, contemptible, vile, abject	11274
3319	a despising, contempt, scorn	11275
3320	to stretch, bend, draw tight, strain	11276
3321	earnestly, with exertion, vehemently	11281
3322	a stretching, straining, exertion, tension, effort, struggle	11282
3323	stretched, strained, tense, tight, on the stretch	11284
3324	content, satisfied, pleased	11285
3325	 bordering upon, adjoining, neighboring, bounding	11290
3326	to grind, bruise, pound, wear out	11293
3327	to terrify, frighten, subdue by terror	11295
3328	P. of conterreo	11297
3329	 to call to witness, invoke, appeal to	11302
3330	to weave, entwine, join, bind	11303
3331	in close connection	11304
3332	woven together, closely connected, continuous	11308
3333	connection, coherence	11309
3334	to become still, cease speaking, fall silent	11311
3335	a floor, storey	11313
3336	to join with beams, furnish with joists	11314
3337	bordering, neighboring, adjoining, near, close	11316
3338	bounding, limiting, enclosing	11317
3339	a mainland, continent	11318
3340	continuously, without interruption	11319
3341	a restraint, abstemiousness, continence, temperance, moderation	11320
3342	to hold together, bound, limit, comprise, enclose, surround, environ	11321
3343	to touch, reach, take hold of, seize	11322
3344	to wet, moisten	11323
3345	a continuance, prolongation	11325
3346	immediatcly, forthwith, straightway, directly, without delay	11328
3347	to join, make continuous, connect, unite	11329
3348	joining, connecting, uninterrupted, continuous, unbroken	11330
3349	meeting, assembly, convocation, gathering, audience	11331
3350	speaking in public, haranguing, proclaiming	11332
3351	of a popular assembly, mob-like, vulgar	11333
3352	of a public assembly, mob-like	11334
3353	an haranguer, demagogue, agitator	11335
3354	to meet, convene, form an assembly	11336
3355	an harangue, petty speech	11337
3356	to turn, twist, twirl, swing, whirl, brandish, wield, hurl	11343
3357	perplexedly, perversely	11345
3358	a whirling	11346
3359	a wrester, perverter	11347
3360	somewhat perverse	11348
3361	vehement, energetic	11350
3362	against, opposite (+ acc.)	11351
3363	in opposition, on the contrary	11351
3364	a drawing together, contraction	11353
3365	a trifling dejection, sadness	11354
3366	drawn together, compressed, contracted, short, narrow, restricted, limited	11359
3367	to speak against, contradict	11361
3368	to draw together, collect, assemble	11367
3369	in opposite ways, in a different manner	11370
3370	see contrarius	11372
3371	lying over against, opposite	11373
3372	a touching, contact	11382
3373	to touch, handle, come in contact with, feel	11384
3374	 to tremble, shake, shudder	11386
3375	to tremble, quake	11387
3376	to unite, incorporate, associate, enroll together	11393
3377	to sadden, make gloomy, cloud, dim, darken	11397
3378	worn out, trite, common	11399
3379	a contention, quarrel, question, dispute, controversy, debate	11401
3380	much controverted	11404
3381	disputed, questionable, undecided	11406
3382	to cut to pieces, cut down, put to the sword	11407
3383	to thrust, crowd together	11408
3384	a tent-companion, messmate	11410
3385	companionship in a tent, the relation of a general and his personal follower	11411
3386	to look on, gaze upon, behold, survey	11412
3387	a beholding	11413
3388	inflexibility, contumacy, obstinacy, stubbornness	11415
3389	obstinately, stubbornly	11416
3390	insolent, unyielding, obstinate, stiff-necked	11417
3391	insult, abuse, affront, reproach, invective, contumely	11418
3392	abusively, insolently	11419
3393	full of abuse, reproachful, abusive, insulting	11420
3394	to cover with a mound, inter, bury	11423
3395	to beat, bruise, grind, crush, pound, break to pieces	11424
3396	P. of contundo	11425
3397	confusion, disquiet, consternation	11426
3398	distracted, disordered, confused, disquieted	11428
3399	to confuse, disturb, derange, disorder, confound	11429
3400	a pole, pike	11432
3401	P. of contundo	11435
3402	of wedlock, conjugal	11437
3403	marriage, wedlock	11439
3404	 a cone	11444
3405	 to recover, regain health, grow strong, gain strength	11448
3406	a valley, ravine, dell	11451
3407	to pack together, pack up	11454
3408	to carry together, heap together	11456
3409	 a fellow-passenger	11457
3410	to carry together, collect, store	11458
3411	to tear away, pluck up, pull off, wrest, rend	11459
3412	assembled strangers, refugees, vagabonds	11462
3413	agreeing, consistent, corresponding	11463
3414	fitly, suitably, conformably, consistently	11464
3415	agreement, harmony, symmetry	11465
3416	to come together, meet, assemble, gather, come in a body	11466
3417	of assembling, for attendance	11468
3418	a petty assembly, association	11469
3419	an agreement, compact, convention	11470
3420	an agreement, compact, contract, convention	11474
3421	a meeting, assembly, throng	11476
3422	to strike, beat	11478
3423	to sweep together	11481
3424	familiar intercourse, association	11482
3425	a turning round, revolving, revolution	11484
3426	to turn around	11486
3427	to abide, frequent	11487
3428	to turn round, cause to turn, turn back, reverse, direct	11489
3429	to clothe, cover, envelop	11491
3430	vaulted, arched, rounded, convex, concave	11497
3431	a railer, reviler	11500
3432	to revile, reproach, taunt, rail at	11502
3433	a loud noise, cry, clamor, outcry	11503
3434	companionship, intercourse, intimacy	11504
3435	a table companion, messmate, familiar friend	11505
3436	a living together, intimacy, social intercourse	11507
3437	to overcome, convict, refute, expose	11508
3438	to shine upon	11511
3439	a table companion, guest	11514
3440	of a guest, festal, convivial	11515
3441	a host, entertainer, master of a feast	11516
3442	a meal in company, social feast, entertainment, banquet	11518
3443	to banquet, revel, carouse together	11520
3444	a convoking, calling together, assembling	11521
3445	to call together, convoke, assemble, summon	11522
3446	to wound severely	11523
3447	to fly together, come hastily together, run together	11524
3448	P. of convello	11525
3449	to roll together, roll up, roll round	11527
3450	to bespew, vomit upon	11529
3451	P. of convello	11532
3452	to cover, cover over, overwhelm, bury	11539
3453	an election to office, appointment, choice	11542
3454	to choose, elect, admit by election, appoint to office	11543
3455	to come forth, stand up, arise, appear, rise, break forth	11545
3456	 a basket	11556
3457	abundance, supply	11557
3458	troops, forces	11557
3459	in great abundance, copiously, abundantly, plentifully	11565
3460	furnished abundantly, well supplied, having abundance, rich, copious, plentiful, abounding	11566
3461	 a short, curved sword, yataghan	11567
3462	a petty tradesman, huckster, innkeeper	11571
3463	see caupo	11572
3464	a band, rope, thong, tie, fastening	11588
3465	a coupling, connecting	11591
3466	joined, united, connected	11595
3467	to couple, bind, tie together, join, connect, unite	11596
3468	to cook, prepare by cooking, bake, boil, roast, parch, steep, melt, heat	11609
3469	a cook	11612
3470	the heart	11613
3471	in the presence, before the eyes, in the face, openly, face to face	11628
3472	a basket	11632
3473	a ship of burden	11633
3474	see crocodilus	11640
3475	wise, prudent, judicious	11646
3476	(a wanton dance); of the trochee, the dancing metre	11647
3477	a costly bronze, an alloy of gold, silver, and copper	11678
3478	Corinth	11679
3479	skin, hide, leather	11686
3480	horny, of horn	11690
3481	of horn, horny	11693
3482	of the cornel-tree	11694
3483	a hornblower, trumpeter, cornet-player	11695
3484	a little crow	11698
3485	a little horn, a horn-shaped ornament	11703
3486	having horns, horned	11706
3487	horn-footed, hoofed	11707
3488	a crow	11708
3489	a horn, antler	11709
3490	the cornel-berry, cornel-cherry	11714
3491	see cornu	11715
3492	cornel cherry-tree	11717
3493	a little crown or garland	11724
3494	a garland	11726
3495	a garland, chaplet, wreath	11727
3496	for a crown	11733
3497	to furnish with a garland, crown, wreathe	11743
3498	material, sensible	11752
3499	of the body, physical	11753
3500	body	11759
3501	a puny body	11760
3502	to scrape together, rake up	11761
3503	an amendment, improvement, correction	11762
3504	an amender, improver, reformer	11763
3505	P. of corrigo	11765
3506	to creep, slink	11767
3507	shortly	11768
3508	P. of corripio	11771
3509	 a shoe-tie, shoe-latchet	11775
3510	to make straight, set right, bring into order	11776
3511	to seize, snatch up, grasp, collect, take hold of, arrest	11777
3512	to strengthen, invigorate, make strong, corroborate	11782
3513	to gnaw, gnaw to pieces	11784
3514	to bring together by entreaty, collect, drum up, obtain by soliciting	11786
3515	to wrinkle, corrugate	11789
3516	to destroy, ruin, waste	11791
3517	to fall together, fall down, fall, tumble, sink	11792
3518	perversely	11793
3519	a corrupting, corruption, seduction, bribery	11794
3520	a corrupting, bribery	11797
3521	a misleader, seducer, briber	11799
3522	one who seduces	11800
3523	spoiled, marred, corrupted, bad	11801
3524	see cohors	11802
3525	the bark, rind, shell, hull	11811
3526	a kettie, caldron, the tripod of Apollo, in the form of a caldron	11816
3527	see corylus	11823
3528	the northwest wind; see Caurus	11829
3529	to move quickly, vibrate, shake, brandish, weave, tremble	11833
3530	in waving motion, waving, vibrating, tremulous	11835
3531	a raven	11837
3532	the priests of Cybele, who served her with noisy music and wild, armed dances	11838
3533	of the Corybantes	11839
3534	(prop., a sack of sand for athletes), a means of exercise, discipline	11845
3535	a hazel-thicket, hazel-copse	11849
3536	a hazel-tree, filberttree	11850
3537	bearing clusters of ivy-berries	11853
3538	a cluster of ivyberries, cluster, garland	11856
3539	a leader, chief, head	11859
3540	a quiver	11864
3541	a flint-stone, whetstone, grindstone	11866
3542	an adorner, slave of the wardrobe	11885
3543	the ten councillors of state in Crete	11890
3544	a rib	11902
3545	an Oriental aromatic plant	11911
3546	a pointed rock, crag (see cautes)	11922
3547	with the cothurnus, buskined, tragic	11925
3548	a high Grecian shoe	11926
3549	daily	11942
3550	of every day, daily	11943
3551	daily, every day	11944
3552	small Syrian figs	11948
3553	a quail	11952
3554	of Cos, Coan	11962
3555	a driver of a scythe-chariot	11967
3556	the hip	11973
3557	a hornet	11976
3558	a kind of cabbage	11979
3559	excessive drinking, intoxication	11984
3560	to-morrow	11990
3561	thickly, grossly, rudely	11993
3562	thickness	12002
3563	solid, thick, fat, gross, stout	12006
3564	of to-morrow, to-morrow’s	12008
3565	a mixingvessel, wine-bowl, punch-bowl (poet.)	12015
3566	a mixing-vessel, winebowl, punch - bowl	12016
3567	wicker-work, a hurdle	12027
3568	an electing, appointment, choice	12032
3569	a creator, author, begetter, founder	12033
3570	she who produces, a mother	12034
3571	thick, close, pressed together, frequent, numerous, repeated	12037
3572	often, in quick succession	12038
3573	to become frequent, increase, spread abroad	12040
3574	thickness, closeness, frequency	12041
3575	in quick succession, repeatedly, often, frequently, many times	12044
3576	PP. of credo	12045
3577	to be believed, worthy of belief, likely, credible	12046
3578	credibly	12047
3579	a creditor	12049
3580	a loan	12051
3581	to believe, trust	12052
3582	ready belief, credulity, rash confidence	12054
3583	that easily believes, credulous, easy of belief, confiding, unsuspecting	12055
3584	to burn, consume by fire	12062
3585	a thick vegetable juice	12066
3586	to bring forth, produce, make, create, beget, give origin to	12071
3587	a sandal, sole with straps, half-shoe, Grecian shoe	12078
3588	wearing sandals	12080
3589	a foundation of masonry, base	12081
3590	to rattle, creak, crackle, clatter, rustle, rumble, chatter, murmur	12086
3591	a rattling, creaking, clattering, clashing, rustling	12088
3592	To rattle, crack, creak, rustle, clatter, tinkle, jingle, chink	12089
3593	a child’s rattle	12091
3594	twilight, dusk, the evening twilight	12092
3595	a Cretan	12093
3596	to come into being, spring up	12095
3597	Cretan	12096
3598	of Crete, Cretan	12097
3599	Cretan earth, pipe - clay, chalk	12098
3600	marked with chalk	12104
3601	a formal acceptance of an inheritance	12114
3602	abounding in chalk	12116
3603	white clay, used for sealing	12117
3604	P. of cresco	12119
3605	perf. of cerno, and of cresco	12121
3606	a sieve, riddle	12127
3607	judgment, charge, accusation, reproach	12128
3608	an accusation, complaint, calumny	12130
3609	 an accuser, slanderer	12131
3610	to accuse of crime, complain of, impeach, calumniate	12134
3611	reproachfully, slanderously	12135
3612	bringing accusations, reproachful, calumniating, slanderous	12136
3613	of the hair	12139
3614	the hair, hair of the head	12142
3615	covered with hair, hairy, with flowing locks, long - haired	12143
3616	to move the haunches	12150
3617	roughfurrowing, serpentine	12152
3618	to swing, brandish	12154
3619	having curled hair, curly-headed	12156
3620	a tuft, comb, crest	12157
3621	tufted, crested	12159
3622	a judge, critic	12165
3623	of saffron, saffron-colored, yellow, golden	12176
3624	of saffron	12181
3625	a crocodile	12191
3626	a saffron-colored dress, court dress (for a woman)	12194
3627	a castanet dancer	12210
3628	a rattle, bell, castanet	12211
3629	torture, torment	12224
3630	torture, torment, a torturing, execution, ruin, misfortune	12228
3631	to put to the rack	12231
3632	rude, unfeeling, hard, unmerciful, hard - hearted, cruel, severe, fierce	12233
3633	harshness, severity, cruelty, barbarity	12234
3634	cruelly, fiercely, in a cruel manner	12235
3635	to increase in violence, be aggravated, grow worse	12236
3636	an overloading of the stomach	12237
3637	bloody, raw; immature; fresh, vigorous	12240
3638	to make bloody, spot with blood, stain, cause to bleed	12243
3639	spotted with blood, bloody, stained	12244
3640	a moneybag, purse	12245
3641	blood, bloodshed, gore, a stream of blood	12248
3642	among the Gauls, armored foot-soldiers	12249
3643	the leg, shank, shin	12253
3644	a hard surface, rind, shell, crust, bark	12257
3645	small pastry, confectionery	12264
3646	a hard loaf, cake, pastry	12265
3647	a gallows, frame, tree	12274
3648	a vault, cavern	12276
3649	a crystalline vase	12280
3650	a crystal	12284
3651	of a sleepingchamber	12293
3652	a chamber-servant, valet-de-chambre	12294
3653	a room for reclining, sleeping - chamber, bedchamber	12296
3654	a place of rest, couch, bed	12298
3655	a cushion, elbowcushion	12299
3656	of a cubit	12300
3657	to lie down often, be accustomed to lie	12302
3658	the elbow	12305
3659	to lie down, recline	12308
3660	a mass, quantity	12309
3661	a hood, cowl, cap on a cloak	12315
3662	a cuckoo	12316
3663	a cucumber	12323
3664	(prop., a gourd), a cuppingglass (from its form)	12324
3665	to strike, beat, pound, knock	12333
3666	whence? of what country? from what place?	12335
3667	of whatever kind, of what sort soever	12337
3668	of whom? whose?	12338
3669	a bed, cushion, pillow	12341
3670	see culleus	12346
3671	a gnat, midge	12347
3672	a kitchen	12351
3673	a leather bag, sack for liquids	12356
3674	the top, summit, roof, gable	12357
3675	a stalk, stem, straw	12360
3676	fault, error, blame, guilt, failure, defect	12362
3677	blamable, deserving reproach	12366
3678	to reproach, blame, censure, reprove, disapprove, condemn	12368
3679	plantations, fields of grain	12369
3680	elegantly	12370
3681	a small knife	12373
3682	a knife, butcher’s knife	12374
3683	a cultivation, preparation	12375
3684	a cultivator, tiller	12376
3685	a cultivator	12379
3686	a cultivating, care, cultivation	12380
3687	elegant, adorned	12381
3688	labor, care, cultivation, culture	12382
3689	a large drinking-vessel, beaker, bowl	12383
3690	the fundament	12384
3691	with, together with (+ abl.)	12385
3692	when (+ indic.)	12386
3693	when; since; although (+ subj.)	12386
3694	a receptacle for corn, granary	12395
3695	cumin	12400
3696	whenever, always	12402
3697	in rich abundance, abundantly, copiously	12404
3698	heaped, increased, augmented	12406
3699	to heap, accumulate, pile	12407
3700	a heap, pile, mass, accumulation	12408
3701	a cradle	12410
3703	lingering, loitering, delaying	12412
3704	dilatory, procrastinating	12415
3705	slowly, with delay	12416
3706	a delaying, lingering, tarrying, delay, hesitation, doubt	12417
3707	a delayer, loiterer, lingerer	12418
3708	to delay, linger, loiter, hesitate, doubt	12424
3709	all together, the whole	12425
3710	in the form of a wedge	12426
3711	like a wedge, wedge - shaped	12428
3712	a little wedge	12430
3713	a wedge	12431
3714	abounding in rabbits	12437
3715	a rabbit, cony	12439
3716	the female pudenda	12444
3717	a cask, tun, barrel	12446
3718	a priest of the Sabines	12450
3719	eagerly, zealously, passionately, vehemently, ardently, gladly	12451
3720	of Cupid	12452
3721	a longing, desire, passion, eagerness	12453
3722	a desire, wish, longing, eagerness, passion	12454
3723	the god of love, Cupid, son of Venus	12454
3724	longing, desiring, desirous, eager, zealous, wishing, loving, fond	12455
3725	desirous, longing, eager	12457
3726	to long for, desire, wish	12459
3727	one who desires	12461
3728	P. of cupio	12462
3729	daintiness, lickerishness	12464
3730	a maker of dainties, confectioner	12465
3731	a grove of cypress-trees, cypress wood	12469
3732	of cypress, of cypress wood	12470
3733	cypress-bearing	12471
3734	the cypress (an evergreen tree, sacred to Pluto)	12473
3736	why?	12478
3737	care, concern	12479
3738	requiring treatment, serious	12480
3739	coral	12482
3740	PP. of curo	12483
3741	carefully, diligently	12484
3742	a caring for, administration, oversight, care, management, charge	12485
3743	he who takes charge, a manager, overseer, superintendent, keeper, commissioner, delegate	12486
3744	care, treatment	12491
3745	carefully regarded, anxious	12492
3746	a corn-worm, weevil	12493
3747	ancient priests of Cybele in Crete	12498
3748	of the Curetes	12500
3702	cradle	12411
3749	a court, curia, association; the senate house	12501
3750	a member of the same curia	12502
3751	by curiae	12505
3752	of the curiae	12507
3753	the priest of a curia	12511
3754	carefully, attentively	12515
3755	eagerness for knowledge, inquisitiveness	12516
3756	bestowing care, painstaking, careful, diligent, thoughtful, devoted, attentive	12519
3757	a spear	12520
3758	to care for, take pains with, be solicitous for, look to, attend to, regard	12525
3759	a small car, chariot, racing car	12527
3760	to run, move quickly, hasten	12529
3761	a hedge - sparrow, i. e. cuckold	12530
3762	a chariot, car, wain, wagon	12532
3763	quickly, swiftly, hastily, speedily	12535
3764	to run about, run hither and thither	12538
3765	to run hither and thither, run constantly	12539
3766	a runner, racer, competitor	12540
3767	a running, course, way, march, passage, voyage, journey	12546
3768	to shorten, consume	12549
3769	shortened, mutilated, broken, short	12550
3770	of a chariot	12551
3771	a bending, bend, vaulting	12553
3772	a bend	12555
3773	to crook, bend, bow, curve, round	12558
3774	crooked, curved, bent	12561
3775	a point, pointed end, blade, head	12569
3776	a watching, watch, guard, care, protection	12573
3777	to watch, protect, keep, defend, guard	12576
3778	a guard, watch, preserver, keeper, overseer, protector, defender, attendant	12579
3779	the skin	12581
3780	the skin	12588
3781	a cup, drinking-cup, glass	12597
3782	round-hulled, with swelling body	12599
3783	a Phrygian goddess, worshipped as mother of the gods	12600
3784	Cyclades, island group	12612
3785	a circular, white or purple state-robe, with a border	12614
3786	of a cycle	12615
3787	a Cyclops, one of the fabulous giants on the coast of Sicily	12619
3788	of a swan	12622
3789	the swan	12623
3790	a cylinder	12635
3791	a mountain of Arcadia, sacred to Mercury	12637
3792	of Cyllene, a mountain of Arcadia, sacred to Mercury; of Mercury	12641
3793	boat, skiff	12647
3794	a cymbal; two hollow plates of brass, which ring when struck together (used in festivals)	12654
3795	a small drinking vessel, cup, bowl	12655
3796	the Cynic philosophy	12671
3797	an ape with a dog’s head	12678
3798	(dog’s tail), the Lesser Bear (a constellation)	12692
3799	a cypress-tree	12705
3800	a kind of clover, shrubby clover	12769
3801	of Cytorus, Cytorian	12770
3802	abbr. (ante) diem, dat, dicit	12777
3803	a gold coin of Domitian, conqueror of the Dacians	12781
3804	dactylic	12785
3805	(a finger), a dactyl	12788
3806	skilful, cunning	12797
3807	Daedalus, mythical architect	12798
3808	a slave’s name	12817
3809	a magistrate, one of ten councillors of the Achaean league	12827
3810	a deer, buck, doe, antelope, chamois	12828
3811	condemnation, conviction	12832
3812	damnatory, condemnatory	12834
3813	condemned, under sentence, convicted	12835
3814	greedy for loss	12836
3815	to adjudge guilty, condemn, convict	12840
3816	ruinously, destructively	12841
3817	injurious, destructive, pernicious	12842
3818	hurt, harm, damage, injury, loss	12843
3819	Daphne, a nymph, daughter of king Peneus	12865
3820	laurel tree	12865
3821	a solemn feast, sacrificial feast	12873
3822	region in upper Moesia, modern Serbia, land of the Dardani	12876
3823	Trojan	12879
3824	(adj) Trojan; (noun) mythical founder of Trojan royal family	12880
3825	a giving	12892
3826	a giver	12895
3827	about, concerning (+ abl.)	12911
3829	goddess	13064
3830	to whiten, whitewash, plaster	13069
3831	a walking abroad, promenading	13071
3832	to walk abroad, take a walk, promenade	13073
3833	to be in love with	13074
3834	P., disarmed	13075
3835	 to rave, revel wildly	13081
3836	a conqueror, subduer	13083
3837	to fight out, fight completely, finish a war	13085
3838	a debtor	13086
3839	to owe; ought	13087
3840	lame, disabled, crippled, infirm, debilitated, feeble, frail, weak	13089
3841	lameness, debility, infirmity, weakness, helplessness	13090
3842	a laming, weakness	13091
3843	to lame, cripple, maim, debilitate, unnerve, disable, weaken	13092
3844	an owing, indebtedness	13093
3845	a debtor	13094
3846	what is owing, a debt	13096
3847	due, owing, appropriate, becoming	13097
3848	to sing off, keep singing	13115
3849	to go away, depart, withdraw, retire	13125
3851	ten	13127
3852	the heads of the ten decuriae forming the senate in a colony or municipal town	13128
3853	month of December	13129
3854	a ten-foot pole, measuring-rod	13133
3855	a landmeasurer, land-surveyor	13135
3856	tenfold	13136
3857	ten-thowled, having ten oars	13140
3858	decemviral, of the decemviri	13141
3859	the decemvirate, office of a decemvir	13142
3860	seemly, becoming, decent, proper, fit	13150
3861	becomingly, decently, properly, fitly	13151
3862	comeliness, decency	13152
4085	low	13674
3828	down from, from (+ abl.)	12911
3863	to be seemly, be comely, become, beseem, behoove, be fitting, be suitable, be proper	13155
3864	P. of decipio	13160
3865	to decide, determine, pronounce a decision, judge, decree, resolve, vote	13163
3866	to pluck off, tear away, break off, pluck, crop, gather	13164
3867	a decisive struggle	13166
3868	to go through a contest, fight out	13168
3869	a going away, departure	13170
3870	a retiring officer, predecessor	13171
3871	a going away, departure	13172
3872	it is fitting, suitable, proper	13173
3873	to fall down, fall off, fall away	13178
3874	to cut off, cut away	13179
3875	ten times	13181
3876	of the tenth part, of tithes, of the 10th cohort; (subst) tithe gatherer, soldier of 10th legion	13184
3877	for the tenth time	13189
3878	the tenth	13190
3879	to catch, ensnare, entrap, beguile, elude, deceive, cheat	13193
3880	a decision, settlement, agreement	13197
3881	practice in public speaking, oratorical exercise, declamation	13200
3882	a speaker for show, elocutionist, declaimer	13202
3883	declamatory, rhetorical	13203
3884	to practise declamation, declaim	13204
3885	to practise public speaking, exercise in oratory, declaim	13205
3886	a making clear, disclosure, declaration	13206
3887	to disclose, make evident, reveal	13209
3888	a bending aside, turning away, averting	13211
3889	to bend aside, turn away	13214
3890	inclining downwards, sloping	13216
3891	a slope, declivity	13217
3892	water boiled down, a cold drink	13218
3893	a spendthrift, ruined man, bankrupt	13220
3894	ripe, mellow	13222
3895	deprived of color, discolored, faded	13225
3896	a discoloring	13227
3897	to discolor, stain	13228
3898	to boil away, boil down, diminish by boiling	13233
3899	comeliness, elegance, grace, beauty, charm, ornament	13234
3900	suitably, properly, becomingly, decorously	13238
3901	to adorn, embellish, grace, beautify, decorate	13241
3902	seemliness, propriety	13245
3903	becoming, fitting, seemly, proper, suitable, decorous	13246
3904	 very old, decrepit	13248
3905	to grow less, become fewer, decrease, diminish, wane, shrink	13250
3906	a decree, decision, ordinance, vote, resolution	13254
3907	P. of decerno	13255
3908	a tenth part, tithe, land-tax	13259
3909	subject to tithes, tributary	13262
3910	to lie down, recline	13264
3911	a division of ten, decuria, decade	13268
3912	a dividing into decuriae	13271
3913	a dividing into decuriae	13272
3914	to divide into decuriae	13273
3915	the chief of a decuria, commander of a decuria of cavalry	13274
3916	to run down, hasten down, run, hasten	13277
3917	a running down, downward course, descent	13280
3918	cut off, curtailed, mutilated	13282
3919	grace, glory, honor, dignity, splendor, beauty	13284
3920	to divide crosswise	13289
3921	P. of decutio	13290
3922	to shake off, strike down, cast off	13291
3923	to be unseemly, misbecome, disfigure, disgrace	13292
3924	to disgrace, dishonor, bring to shame	13297
3925	dishonoring, disgraceful	13299
3926	disgrace, dishonor, infamy, shame	13300
3927	a consecration, dedication	13301
3928	to dedicate, consecrate, set apart	13304
3929	to reject as unworthy, disdain, scorn, refuse	13307
3930	to unlearn, forget	13308
3931	surrendered	13309
3932	a giving up, surrender, capitulation	13310
3933	given up, surrendered	13311
3934	to give away, give up, surrender, deliver, consign, yield, abandon, render	13312
3935	to cause to unlearn, unteach, teach the opposite of	13313
3936	to cease grieving	13315
3937	 to lead away, draw out, turn aside, divert, bring out, remove, drive off, draw down	13317
3938	a leading away, conducting off	13319
3939	a guide, teacher (late Latin); an attendant	13321
3940	lowered, unambitious, modest	13323
3941	to wander away, go astray, lose the way	13326
3942	a wearying, tiring out, weariness, fatigue, exhaustion	13333
3943	to weary out, tire, fatigue, exhaust	13334
3944	a failing, failure, want, lack, disappearance	13337
3945	a deserter, apostate	13339
3946	weak, worn out, enfeebled	13341
3947	a falling away, desertion, revolt	13342
3948	to defend	13343
3949	a defending, defence	13351
3950	to defend often, practise defending	13352
3951	to defend diligently, protect	13353
3952	an averter, protector against	13354
3953	to bring away, carry off, take down, carry, take, remove	13357
3954	to cease raging, cool down, be allayed, be assuaged	13361
3955	worn out, weary, exhausted	13362
3956	to become tired, grow weary, faint	13364
3957	to withdraw, revolt, desert, fall off	13366
3958	to fasten, fix, set, drive, set up, plant	13367
3959	to disfigure, deface, muddle	13369
3960	to bound, set bounds to, limit, terminate, define	13371
3961	precisely, explicitly	13372
3962	a limiting, defining, definition, explanation	13373
3963	definitive, explanatory	13374
3964	limited, precise, definite	13376
3965	to run out, be wanting (passive of deficio)	13377
3966	P. of defigo	13380
3967	a burning up, conflagration	13381
3968	to burn down, be consumed by fire	13382
3969	to bend aside, turn away, divert	13384
3970	to weep over, lament, deplore, bewail	13385
3971	P. of deflecto	13387
3972	to drop blossoms, fade, wither, decay, decline	13392
3973	to flow down	13393
3974	to dig deep, dig up, make by digging	13398
3975	fut. inf. of desum	13400
3976	a deforming, disfiguring, defacing	13402
3977	misshapen, deformed	13403
3978	ugliness, deformity, hideousness	13404
3979	to bring out of shape, deform, disfigure, spoil, mar	13407
3980	P. of defodio	13408
3981	to defraud, overreach, cheat	13412
3982	unrestrained	13414
3983	to rub off, rub down, rub hard	13417
3984	to break off, break to pieces	13419
3985	must boiled down	13424
3986	to run off, flee away, make an escape	13426
3987	P. of defungor	13431
3988	to pour down, pour out	13432
3989	to have done with, acquit oneself of, discharge, perform, finish	13433
3990	 exhausted	13435
3991	inferior to ancestors, degenerate	13436
3992	baseness, degeneracy	13437
3993	to be inferior to ancestors, decline, be degenerate	13438
3994	to spend, pass	13444
3995	it stops hailing	13445
3996	to weigh down, overpower, burden	13447
3997	to go down, march down, descend	13448
3998	to grunt out, do his grunting	13450
3999	to taste	13454
4000	 from this time, henceforth, hereafter, for the future	13456
4001	to part, divide, split open, gape, yawn	13457
